Date,Price,Open,High,Low,Vol.,Change %
18-Jul-16,46.96,47.92,47.95,46.5,230.50K,-1.37
15-Jul-16,47.61,47.03,48.25,46.65,260.43K,0.51
14-Jul-16,47.37,46.59,47.47,46.34,289.40K,2.4
13-Jul-16,46.26,48.13,48.2,46.09,299.80K,-4.56
12-Jul-16,48.47,46.17,48.57,46.09,321.53K,4.8
11-Jul-16,46.25,46.49,47.1,45.9,229.28K,-1.09
8-Jul-16,46.76,46.6,47.23,46.15,237.28K,0.78
7-Jul-16,46.4,49.12,49.59,46.15,328.10K,-4.92
6-Jul-16,48.8,48.06,49.31,47.17,279.12K,1.75
5-Jul-16,47.96,50.03,50.05,47.54,305.74K,-4.27
4-Jul-16,50.1,50.6,50.75,50.03,113.45K,-0.5
1-Jul-16,50.35,49.9,50.66,49.25,248.69K,1.35
30-Jun-16,49.68,50.21,50.28,49.47,25.41K,-1.84
29-Jun-16,50.61,48.84,50.74,48.62,112.96K,4.18
28-Jun-16,48.58,47.61,48.79,47.47,173.18K,3.01
27-Jun-16,47.16,48.43,48.9,46.69,243.26K,-2.58
24-Jun-16,48.41,50.69,50.74,47.54,351.74K,-4.91
23-Jun-16,50.91,50.14,51.18,49.89,246.95K,2.06
22-Jun-16,49.88,51.06,51.24,49.18,282.72K,-1.46
21-Jun-16,50.62,50.43,51.1,49.46,256.95K,-0.06
20-Jun-16,50.65,49.42,50.68,49.24,244.41K,3.01
17-Jun-16,49.17,47.28,49.4,47.25,222.73K,4.2
16-Jun-16,47.19,48.56,48.77,46.94,287.30K,-3.63
15-Jun-16,48.97,49.22,49.8,48.39,298.84K,-1.73
14-Jun-16,49.83,49.89,50.05,49.2,224.01K,-1.03
13-Jun-16,50.35,50.42,50.79,49.61,208.81K,-0.38
10-Jun-16,50.54,51.91,52.1,50.33,210.06K,-2.71
9-Jun-16,51.95,52.74,52.86,51.53,213.12K,-1.07
8-Jun-16,52.51,51.41,52.8,51.32,260.75K,2.08
7-Jun-16,51.44,50.46,51.54,50.28,208.82K,1.76
6-Jun-16,50.55,49.83,50.83,49.72,223.76K,1.83
3-Jun-16,49.64,49.95,50.33,49.3,227.82K,-0.8
2-Jun-16,50.04,49.63,50.3,48.84,270.12K,0.64
1-Jun-16,49.72,49.65,50,48.65,266.00K,0.06
31-May-16,49.69,49.7,50.05,49.23,28.69K,-0.14
30-May-16,49.76,49.43,49.83,48.92,23.09K,0.89
27-May-16,49.32,49.42,49.55,48.69,130.18K,-0.54
26-May-16,49.59,49.76,50.51,49.25,221.26K,-0.3
25-May-16,49.74,49.16,49.96,48.91,237.79K,2.32
24-May-16,48.61,48.35,49.24,47.8,211.58K,0.54
23-May-16,48.35,48.72,48.84,47.58,225.09K,-0.76
20-May-16,48.72,48.9,49.39,48.07,255.58K,-0.18
19-May-16,48.81,48.67,48.88,47.38,302.10K,-0.25
18-May-16,48.93,49.36,49.85,48.45,319.81K,-0.71
17-May-16,49.28,49.03,49.75,48.57,262.32K,0.63
16-May-16,48.97,47.8,49.47,47.77,294.38K,2.38
13-May-16,47.83,47.85,48.12,47.26,239.05K,-0.52
12-May-16,48.08,47.32,48.19,46.8,353.85K,1.01
11-May-16,47.6,45.59,47.75,44.8,381.74K,4.57
10-May-16,45.52,43.49,45.7,43.33,343.21K,4.33
9-May-16,43.63,45.75,46.48,43.43,364.58K,-3.84
6-May-16,45.37,45.16,46.12,44.19,283.65K,0.8
5-May-16,45.01,45.08,46.77,44.65,280.79K,0.87
4-May-16,44.62,45.21,46.01,44.19,293.82K,-0.78
3-May-16,44.97,45.8,46.4,44.62,276.40K,-1.88
2-May-16,45.83,47.37,47.4,45.72,168.09K,-4.78
29-Apr-16,48.13,47.9,48.5,47.41,29.52K,-0.02
